,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6298.764081478119,2646.132477380562,22.582107830047608,35.45517196909142,tanh,600,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 600, 'max_iter': 700, 'solver': 'adam'}",-4.141430685277631,-4.305789714571351,-4.112903055087793,-4.128502412394245,-4.196306518079665,-4.176986477082137,0.07026399050133622,6
1,13330.197235584259,4413.670530675194,23.375722122192382,19.58061244259965,tanh,800,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 800, 'max_iter': 700, 'solver': 'adam'}",-4.144606675999487,-4.19209299026814,-4.07922522756672,-4.0940470886544515,-4.1069845885953455,-4.123391314216829,0.04062245511361322,5
2,17896.549162197112,5223.251710747757,9.687646436691285,3.3570634450435195,tanh,1000,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 1000, 'max_iter': 700, 'solver': 'adam'}",-4.158667782204667,-4.100493564885361,-4.045219159204276,-4.109861534076173,-4.083828864002766,-4.0996141808746485,0.03688117136205376,4
3,18571.663056373596,2283.3313684652912,5.758702135086059,0.3985408917559577,logistic,600,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 600, 'max_iter': 700, 'solver': 'adam'}",-4.014896509367726,-4.039456024776125,-4.025215481987666,-4.017113162235527,-4.035683004987498,-4.026472836670909,0.009763054583085599,3
4,25310.561092948912,1710.42205217489,7.446873617172241,0.31040060811734976,logistic,800,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 800, 'max_iter': 700, 'solver': 'adam'}",-4.024507170574312,-4.042322246503775,-3.9918250188701903,-3.9959626637981724,-4.011342372016746,-4.013191894352639,0.018619470339804815,2
5,29041.850739336012,4621.987558046235,7.583209896087647,0.663631277497144,logistic,1000,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 1000, 'max_iter': 700, 'solver': 'adam'}",-3.9975664946944307,-4.046080148858549,-3.977587573743954,-4.008065154391116,-4.003919421041902,-4.006643758545991,0.022321872036861746,1
